prefec_kanji2,prefecture,id,quarter_number,year_quarter,year,quarterly,region_name,region_id,pop_over15,yoy_labor_force_rate2019,yoy_employment_rate2019,yoy_unemployment_rate2019,yoy_diff1_labor_force_rate2019,yoy_diff1_employment_rate2019,yoy_diff1_unemployment_rate2019,yoy_diff2_labor_force_rate2019,yoy_diff2_employment_rate2019,yoy_diff2_unemployment_rate2019
神奈川県,Kanagawa-ken,14,237,2019q2,2019,q2,南関東,3,8090,1.1042756093918555,1.245998640327322,-0.2853670573056579,-0.354726924710036,-0.19371765861409784,-0.26281085551841565,-0.6048764710429921,-0.4307537534782142,-0.23982417821720858
新潟県,Niigata-ken,15,237,2019q2,2019,q2,北陸,5,1972,0.6345243667758922,0.6232554914096582,-0.003431527821771585,0.007565357327045774,-0.043292130804040596,0.17272589166776342,-0.10095950419184163,-0.2525509602032443,0.25508955425382296
富山県,Toyama-ken,16,237,2019q2,2019,q2,北陸,5,924,0.4419871481227844,0.43616233067254484,-0.0030404193346347252,0.18048548761046135,0.07177857814693311,0.17457947409342967,-0.25276869664400436,-0.46924496936210147,0.18532755072347595
石川県,Ishikawa-ken,17,237,2019q2,2019,q2,北陸,5,997,0.3853560682046151,0.28234704112337283,0.31991624011167974,0.0020720175859025858,-0.09823430138182232,0.16108754129765424,0.16280117798505245,-0.038211841112151035,0.48516610107934466
福井県,Fukui-ken,18,237,2019q2,2019,q2,北陸,5,672,-0.7552910052909994,-0.7592592592592595,0.022769410922811817,-1.620953357525714,-1.6209768210281084,0.2758725244378246,-1.7758959608244567,-1.7759194243268226,0.2723625850442879
山梨県,Yamanashi-ken,19,237,2019q2,2019,q2,北関東・甲信,4,716,1.0080660783052764,0.7200195259532407,0.41077217801355737,-0.03553765320499025,-0.3174113184205609,0.43030819754957683,0.24149149266991543,0.0992399065548355,0.20580715106710623
長野県,Nagano-ken,20,237,2019q2,2019,q2,北関東・甲信,4,1800,0.6182399213372776,0.3355457227138601,0.4202972075231346,-0.09766611048342355,-0.26428895983406875,0.16571410846255819,-0.12445816355349137,-0.40266282280365573,0.43465088206381686
岐阜県,Gifu-ken,21,237,2019q2,2019,q2,東海,6,1737,0.5547434942667309,0.6081546798498039,-0.09255112703388568,0.10306248009193553,-0.06992577118679577,0.26709851374950166,-0.12880422269766711,-0.3015365230898652,0.44062599074333764
静岡県,Shizuoka-ken,22,237,2019q2,2019,q2,東海,6,3195,0.03545189686703054,0.032246763963954095,0.003891045967725937,-0.047475283415792546,-0.1409789015156946,0.1501077083464899,-0.6218475713391598,-0.8714719009670304,0.3635065818040686
愛知県,Aichi-ken,23,237,2019q2,2019,q2,東海,6,6546,1.512610360283496,1.3016742927483804,0.2890385275166838,1.1255218759440808,0.850109400711041,0.40024758148995554,-0.14151816238545223,-0.4785307983157878,0.5122937796177689
三重県,Mie-ken,24,237,2019q2,2019,q2,東海,6,1562,2.1359339768840755,2.1327921174418947,-0.03239085095537786,-1.287725270676198,-1.479513265066167,0.33206047556907414,-1.0524766384746016,-1.435230768762807,0.44268637861232984
滋賀県,Shiga-ken,25,237,2019q2,2019,q2,近畿,7,1217,0.7473071628048018,0.6685898156132382,-0.03101562059437235,-0.13721205458974595,-0.053084501371138515,-0.1339608073955718,-0.4359390524750921,-0.4333010190251727,0.004918425031599005
京都府,Kyoto-fu,26,237,2019q2,2019,q2,近畿,7,2285,0.6768361290273219,0.7179231277358369,-0.16374154914436323,-0.08530671936770773,0.09003744074331621,-0.3495214805294333,-0.04120715626022786,0.0023228157223442736,-0.14068663986388774
大阪府,Osaka-fu,27,237,2019q2,2019,q2,近畿,7,7760,2.155173444936331,1.9754039916058517,0.1951952960251364,1.4422473351682115,1.261793859419761,0.25635691123953874,0.4373743269040773,0.5920827324231723,-0.27255401323226636
兵庫県,Hyogo-ken,28,237,2019q2,2019,q2,近畿,7,4793,-0.06462422492305109,-0.08861559376422434,0.008088160954403456,-0.42402882761397365,-0.5077213522049675,0.1260833433272679,-0.7273061376049696,-0.6858522535008902,-0.04039465683650656
奈良県,Nara-ken,29,237,2019q2,2019,q2,近畿,7,1174,-0.046198712210902215,0.1172292322351538,-0.28193525931082464,0.26458549995113145,0.0943520610621249,0.30712420055120804,-0.33528236292443836,-0.16497147441377535,-0.43074478312034836
和歌山県,Wakayama-ken,30,237,2019q2,2019,q2,近畿,7,819,0.44720830694229363,0.8016972950467576,-0.20401825381078487,0.9780909616487108,1.3443056848101946,-0.2436602426053156,1.3258957602656736,1.6897200732394353,-0.2441713374421295
鳥取県,Tottori-ken,31,237,2019q2,2019,q2,中国,8,486,0.7315024775342209,0.5156630553455983,0.31236645570908195,-0.36639169812884376,-0.1640650534109085,-0.3525741115499508,-1.001553765906678,-0.5972593719286721,-0.6269619929757531
島根県,Shimane-ken,32,237,2019q2,2019,q2,中国,8,593,0.09095505633845846,-0.08445826659999511,0.27365046926506276,-2.5537148517585635,-1.7190385201060892,-1.3705370708762348,-3.385196471375508,-2.8877882012786102,-0.8007177152621026
岡山県,Okayama-ken,33,237,2019q2,2019,q2,中国,8,1653,0.39634223052175344,0.39131000788745496,0.09469951513021169,-0.2341882801632238,-0.11335449189517988,-0.20078112386313451,-0.29657627588939306,-0.1765536554791396,-0.09380992897993279
広島県,Hiroshima-ken,34,237,2019q2,2019,q2,中国,8,2446,0.6138120870077017,0.567269303602771,0.052942789893668074,0.012701236815587436,0.05247777206971449,-0.1364761992419008,0.027073317836688204,0.06716755316379164,-0.13588114209673385
山口県,Yamaguchi-ken,35,237,2019q2,2019,q2,中国,8,1202,0.4069125714568216,0.3973026254372556,0.14280607053480554,0.22890632346486228,0.30843621898966234,-0.008167542447256926,-0.5189201406188033,-0.5199594509964882,0.1597549836857497
徳島県,Tokushima-ken,36,237,2019q2,2019,q2,四国,9,648,0.5224260958205917,0.6654207724544179,0,0.011638103325282145,0.012043661760230862,0.27548209366391196,0.31730554087625507,-0.14060977186095158,1.0853900198162494
香川県,Kagawa-ken,37,237,2019q2,2019,q2,四国,9,840,0.1681336041525583,0.2804107424960449,-0.1922095199789613,-0.41543374643480746,-0.41433237261795597,0.01927133976890749,-0.17960762028916832,-0.2964470790173692,0.2110162864726517
愛媛県,Ehime-ken,38,237,2019q2,2019,q2,四国,9,1182,0.6603527180640256,0.8210404387967145,-0.1486731855208141,-0.16124484999588873,-0.15791132283705167,0.2989619318227823,-0.2476789960571466,-0.5810952069018711,0.7238859100598642
高知県,Kochi-ken,39,237,2019q2,2019,q2,四国,9,622,0.5012294306790182,0.8048809164753976,-0.5346810224859007,0.1799546937941372,0.020614997502661936,0.5640928878066167,0.17946936526709578,-0.1399580520753929,0.5596162692427689
福岡県,Fukuoka-ken,40,237,2019q2,2019,q2,九州,10,4432,0.5324919926934584,0.5772416997233591,-0.09839171166828731,0.11701168847523036,0.09364903507305655,0.03763123991643402,-0.10821567800242349,-0.28941314353456704,0.27562239130590127
佐賀県,Saga-ken,41,237,2019q2,2019,q2,九州,10,705,-3.2804423608606754,-3.2858516648635714,0.12207428627233963,-4.479819929387993,-4.478047331782946,0.1498417797932574,-4.33937284703768,-4.619710186339589,0.594808552926859
長崎県,Nagasaki-ken,42,237,2019q2,2019,q2,九州,10,1161,0.39119800807235094,0.3774550008378128,0.007018775223723406,-0.07208408102528807,-0.1595674899847097,0.15001617139053947,-0.886807249104109,-0.9730555421260902,0.32188063646838105
熊本県,Kumamoto-ken,43,237,2019q2,2019,q2,九州,10,1515,0.5490864460953304,0.5396755181431345,-0.014003751650240481,-0.0597158200019976,-0.06127513142713781,0.10906696123193393,-0.12339239291593174,-0.19222447875888093,0.21667567974478708
大分県,Oita-ken,44,237,2019q2,2019,q2,九州,10,997,1.0192929385766902,1.1098035141280391,-0.02333391668125051,0.40605544661156756,0.405520702489369,0.15210219368195066,-0.08932067003691913,-0.08899768467316704,0.17199300038998144
宮崎県,Miyazaki-ken,45,237,2019q2,2019,q2,九州,10,931,0.7074019856777127,0.7025873878170117,0.17095914742451157,0.2189970469561331,0.2203330709916429,0.3527353607086017,0.6427550261262951,0.0044002246616940965,1.2263225778106936
鹿児島県,Kagoshima-ken,46,237,2019q2,2019,q2,九州,10,1391,-1.0786687746402777,-1.017040821719732,-0.06105006105006083,-0.8554516417686884,-0.7841296876491484,-0.08632774602802051,-0.5724667327622797,-0.6422155843676762,0.13888743109994595
沖縄県,Okinawa-ken,47,237,2019q2,2019,q2,沖縄,11,1204,0.11078819072762514,0.6199424289652242,-0.8382083620644911,-0.9136212624584701,-0.9966777408637881,0.17359725436986206,-0.968031987838593,-0.7174971211024044,-0.35667160265466125
